set nusos:= 1 2 3 4 5 6 7 8 9 10 11 12 13;
set centr:= 1 2 3 4;
set links:=
(1,5)
(1,12)
(2,5)
(2,9)
(5,6)
(5,9)
(6,7)
(6,10)
(7,8)
(7,11)
(8,3)
(9,10)
(9,13)
(10,11)
(11,3)
(11,4)
(12,6)
(12,8)
(13,4);

set origens:= 1 2;
set destins:= 3 4;

set odpair:=
(1,3)
(1,4)
(2,3)
(2,4);

param g:=
1 3 400
1 4 800
2 3 600
2 4 200;

param c:=
1 5 3 
1 12 3
2 5 3
2 9 6
5 6 3
5 9 3
6 7 3
6 10 3
7 8 3
7 11 3
8 3 1
9 10 2
9 13 3
10 11 3
11 3 3
11 4 3
12 6 3
12 8 3
13 4 3;

param cap:=
1 5 2
1 12 2
2 5 2
2 9 2
5 6 2
5 9 2
6 7 2
6 10 2
7 8 2
7 11 2
8 3 2
9 10 2
9 13 2
10 11 2
11 3 2
11 4 2
12 6 2
12 8 2
13 4 2;

